rho,betak1,etai1,Li1,gammai1,etai2,Li2,gammai2,etai3,Li3,gammai3,etai4,Li4,gammai4,etai5,Li5,gammai5,etai6,Li6,gammai6,etai7,Li7,gammai7,etai8,Li8,gammai8,etai9,Li9,gammai9,etai10,Li10,gammai10,beta,eta,L,gamma
2.780000e+00,6.402879e-01,1.000000e+00,5.977528e+00,1.672932e-01,1.000000e+00,5.977528e+00,1.672932e-01,1.000000e+00,5.977528e+00,1.672932e-01,1.000000e+00,5.977528e+00,1.672932e-01,1.000000e+00,5.977528e+00,1.672932e-01,9.999997e-01,5.910113e+00,6.768059e-01,9.999997e-01,5.910113e+00,6.768059e-01,9.999997e-01,5.910113e+00,6.768059e-01,9.999997e-01,5.910113e+00,6.768059e-01,9.999997e-01,5.910113e+00,6.768059e-01,6.402879e-01,9.999998e-01,5.943820e+01,4.206048e-01
2.790000e+00,6.415771e-01,1.000000e+00,5.977654e+00,1.672897e-01,1.000000e+00,5.977654e+00,1.672897e-01,1.000000e+00,5.977654e+00,1.672897e-01,1.000000e+00,5.977654e+00,1.672897e-01,1.000000e+00,5.977654e+00,1.672897e-01,9.999997e-01,5.910615e+00,6.767484e-01,9.999997e-01,5.910615e+00,6.767484e-01,9.999997e-01,5.910615e+00,6.767484e-01,9.999997e-01,5.910615e+00,6.767484e-01,9.999997e-01,5.910615e+00,6.767484e-01,6.415771e-01,9.999998e-01,5.944134e+01,4.205826e-01
2.800000e+00,6.428572e-01,1.000000e+00,5.977778e+00,1.672862e-01,1.000000e+00,5.977778e+00,1.672862e-01,1.000000e+00,5.977778e+00,1.672862e-01,1.000000e+00,5.977778e+00,1.672862e-01,1.000000e+00,5.977778e+00,1.672862e-01,9.999997e-01,5.911111e+00,6.766915e-01,9.999997e-01,5.911111e+00,6.766915e-01,9.999997e-01,5.911111e+00,6.766915e-01,9.999997e-01,5.911111e+00,6.766915e-01,9.999997e-01,5.911111e+00,6.766915e-01,6.428572e-01,9.999998e-01,5.944445e+01,4.205606e-01
2.810000e+00,6.441282e-01,1.000000e+00,5.977901e+00,1.672828e-01,1.000000e+00,5.977901e+00,1.672828e-01,1.000000e+00,5.977901e+00,1.672828e-01,1.000000e+00,5.977901e+00,1.672828e-01,1.000000e+00,5.977901e+00,1.672828e-01,9.999997e-01,5.911602e+00,6.766353e-01,9.999997e-01,5.911602e+00,6.766353e-01,9.999997e-01,5.911602e+00,6.766353e-01,9.999997e-01,5.911602e+00,6.766353e-01,9.999997e-01,5.911602e+00,6.766353e-01,6.441282e-01,9.999998e-01,5.944751e+01,4.205389e-01
2.820000e+00,6.453901e-01,1.000000e+00,5.978022e+00,1.672794e-01,1.000000e+00,5.978022e+00,1.672794e-01,1.000000e+00,5.978022e+00,1.672794e-01,1.000000e+00,5.978022e+00,1.672794e-01,1.000000e+00,5.978022e+00,1.672794e-01,9.999997e-01,5.912088e+00,6.765797e-01,9.999997e-01,5.912088e+00,6.765797e-01,9.999997e-01,5.912088e+00,6.765797e-01,9.999997e-01,5.912088e+00,6.765797e-01,9.999997e-01,5.912088e+00,6.765797e-01,6.453901e-01,9.999998e-01,5.945055e+01,4.205175e-01
2.830000e+00,6.466432e-01,1.000000e+00,5.978142e+00,1.672761e-01,1.000000e+00,5.978142e+00,1.672761e-01,1.000000e+00,5.978142e+00,1.672761e-01,1.000000e+00,5.978142e+00,1.672761e-01,1.000000e+00,5.978142e+00,1.672761e-01,9.999998e-01,5.912569e+00,6.765248e-01,9.999998e-01,5.912569e+00,6.765248e-01,9.999998e-01,5.912569e+00,6.765248e-01,9.999998e-01,5.912569e+00,6.765248e-01,9.999998e-01,5.912569e+00,6.765248e-01,6.466432e-01,9.999998e-01,5.945355e+01,4.204962e-01
2.840000e+00,6.478874e-01,1.000000e+00,5.978261e+00,1.672727e-01,1.000000e+00,5.978261e+00,1.672727e-01,1.000000e+00,5.978261e+00,1.672727e-01,1.000000e+00,5.978261e+00,1.672727e-01,1.000000e+00,5.978261e+00,1.672727e-01,9.999998e-01,5.913044e+00,6.764704e-01,9.999998e-01,5.913044e+00,6.764704e-01,9.999998e-01,5.913044e+00,6.764704e-01,9.999998e-01,5.913044e+00,6.764704e-01,9.999998e-01,5.913044e+00,6.764704e-01,6.478874e-01,9.999998e-01,5.945652e+01,4.204752e-01
2.850000e+00,6.491229e-01,1.000000e+00,5.978378e+00,1.672694e-01,1.000000e+00,5.978378e+00,1.672694e-01,1.000000e+00,5.978378e+00,1.672694e-01,1.000000e+00,5.978378e+00,1.672694e-01,1.000000e+00,5.978378e+00,1.672694e-01,9.999998e-01,5.913514e+00,6.764166e-01,9.999998e-01,5.913514e+00,6.764166e-01,9.999998e-01,5.913514e+00,6.764166e-01,9.999998e-01,5.913514e+00,6.764166e-01,9.999998e-01,5.913514e+00,6.764166e-01,6.491229e-01,9.999998e-01,5.945946e+01,4.204545e-01
2.860000e+00,6.503497e-01,1.000000e+00,5.978495e+00,1.672662e-01,1.000000e+00,5.978495e+00,1.672662e-01,1.000000e+00,5.978495e+00,1.672662e-01,1.000000e+00,5.978495e+00,1.672662e-01,1.000000e+00,5.978495e+00,1.672662e-01,9.999998e-01,5.913979e+00,6.763635e-01,9.999998e-01,5.913979e+00,6.763635e-01,9.999998e-01,5.913979e+00,6.763635e-01,9.999998e-01,5.913979e+00,6.763635e-01,9.999998e-01,5.913979e+00,6.763635e-01,6.503497e-01,9.999998e-01,5.946237e+01,4.204339e-01
2.870000e+00,6.515680e-01,1.000000e+00,5.978610e+00,1.672630e-01,1.000000e+00,5.978610e+00,1.672630e-01,1.000000e+00,5.978610e+00,1.672630e-01,1.000000e+00,5.978610e+00,1.672630e-01,1.000000e+00,5.978610e+00,1.672630e-01,9.999998e-01,5.914439e+00,6.763109e-01,9.999998e-01,5.914439e+00,6.763109e-01,9.999998e-01,5.914439e+00,6.763109e-01,9.999998e-01,5.914439e+00,6.763109e-01,9.999998e-01,5.914439e+00,6.763109e-01,6.515680e-01,9.999998e-01,5.946524e+01,4.204136e-01
2.880000e+00,6.527778e-01,1.000000e+00,5.978723e+00,1.672598e-01,1.000000e+00,5.978723e+00,1.672598e-01,1.000000e+00,5.978723e+00,1.672598e-01,1.000000e+00,5.978723e+00,1.672598e-01,1.000000e+00,5.978723e+00,1.672598e-01,9.999998e-01,5.914894e+00,6.762588e-01,9.999998e-01,5.914894e+00,6.762588e-01,9.999998e-01,5.914894e+00,6.762588e-01,9.999998e-01,5.914894e+00,6.762588e-01,9.999998e-01,5.914894e+00,6.762588e-01,6.527778e-01,9.999998e-01,5.946809e+01,4.203935e-01
2.890000e+00,6.539793e-01,1.000000e+00,5.978836e+00,1.672566e-01,1.000000e+00,5.978836e+00,1.672566e-01,1.000000e+00,5.978836e+00,1.672566e-01,1.000000e+00,5.978836e+00,1.672566e-01,1.000000e+00,5.978836e+00,1.672566e-01,9.999998e-01,5.915344e+00,6.762074e-01,9.999998e-01,5.915344e+00,6.762074e-01,9.999998e-01,5.915344e+00,6.762074e-01,9.999998e-01,5.915344e+00,6.762074e-01,9.999998e-01,5.915344e+00,6.762074e-01,6.539793e-01,9.999998e-01,5.947090e+01,4.203736e-01
2.900000e+00,6.551725e-01,1.000000e+00,5.978947e+00,1.672535e-01,1.000000e+00,5.978947e+00,1.672535e-01,1.000000e+00,5.978947e+00,1.672535e-01,1.000000e+00,5.978947e+00,1.672535e-01,1.000000e+00,5.978947e+00,1.672535e-01,9.999998e-01,5.915790e+00,6.761564e-01,9.999998e-01,5.915790e+00,6.761564e-01,9.999998e-01,5.915790e+00,6.761564e-01,9.999998e-01,5.915790e+00,6.761564e-01,9.999998e-01,5.915790e+00,6.761564e-01,6.551725e-01,9.999998e-01,5.947369e+01,4.203539e-01
2.910000e+00,6.563574e-01,1.000000e+00,5.979058e+00,1.672504e-01,1.000000e+00,5.979058e+00,1.672504e-01,1.000000e+00,5.979058e+00,1.672504e-01,1.000000e+00,5.979058e+00,1.672504e-01,1.000000e+00,5.979058e+00,1.672504e-01,9.999998e-01,5.916231e+00,6.761060e-01,9.999998e-01,5.916231e+00,6.761060e-01,9.999998e-01,5.916231e+00,6.761060e-01,9.999998e-01,5.916231e+00,6.761060e-01,9.999998e-01,5.916231e+00,6.761060e-01,6.563574e-01,9.999998e-01,5.947644e+01,4.203344e-01
