rho,betak1,betak2,etai1,Li1,gammai1,etai2,Li2,gammai2,etai3,Li3,gammai3,etai4,Li4,gammai4,etai5,Li5,gammai5,etai6,Li6,gammai6,etai7,Li7,gammai7,etai8,Li8,gammai8,etai9,Li9,gammai9,etai10,Li10,gammai10,beta,eta,L,gamma
2.040000e+00,1.941730e-01,5.897491e-01,9.943574e-01,5.112961e+00,1.944778e-01,9.943574e-01,5.112961e+00,1.944778e-01,9.943574e-01,5.112961e+00,1.944778e-01,9.999996e-01,5.904021e+00,1.693760e-01,9.999996e-01,5.904021e+00,1.693760e-01,9.999996e-01,5.904021e+00,1.693760e-01,9.999996e-01,5.904021e+00,1.693760e-01,9.999995e-01,5.898302e+00,1.695402e-01,9.999995e-01,5.898302e+00,1.695402e-01,9.999995e-01,5.898302e+00,1.695402e-01,5.106339e-01,9.983069e-01,5.664987e+01,1.762240e-01
2.050000e+00,1.971414e-01,5.919463e-01,9.946014e-01,5.126101e+00,1.940269e-01,9.946014e-01,5.126101e+00,1.940269e-01,9.946014e-01,5.126101e+00,1.940269e-01,9.999996e-01,5.904926e+00,1.693501e-01,9.999996e-01,5.904926e+00,1.693501e-01,9.999996e-01,5.904926e+00,1.693501e-01,9.999996e-01,5.904926e+00,1.693501e-01,9.999995e-01,5.899182e+00,1.695150e-01,9.999995e-01,5.899182e+00,1.695150e-01,9.999995e-01,5.899182e+00,1.695150e-01,5.129853e-01,9.983801e-01,5.669555e+01,1.760950e-01
2.060000e+00,2.000978e-01,5.941200e-01,9.948339e-01,5.138920e+00,1.935881e-01,9.948339e-01,5.138920e+00,1.935881e-01,9.948339e-01,5.138920e+00,1.935881e-01,9.999996e-01,5.905815e+00,1.693246e-01,9.999996e-01,5.905815e+00,1.693246e-01,9.999996e-01,5.905815e+00,1.693246e-01,9.999996e-01,5.905815e+00,1.693246e-01,9.999996e-01,5.900045e+00,1.694901e-01,9.999996e-01,5.900045e+00,1.694901e-01,9.999996e-01,5.900045e+00,1.694901e-01,5.153156e-01,9.984499e-01,5.674016e+01,1.759688e-01
2.070000e+00,2.030419e-01,5.962707e-01,9.950554e-01,5.151426e+00,1.931612e-01,9.950554e-01,5.151426e+00,1.931612e-01,9.950554e-01,5.151426e+00,1.931612e-01,9.999996e-01,5.906687e+00,1.692996e-01,9.999996e-01,5.906687e+00,1.692996e-01,9.999996e-01,5.906687e+00,1.692996e-01,9.999996e-01,5.906687e+00,1.692996e-01,9.999996e-01,5.900894e+00,1.694658e-01,9.999996e-01,5.900894e+00,1.694658e-01,9.999996e-01,5.900894e+00,1.694658e-01,5.176249e-01,9.985164e-01,5.678371e+01,1.758456e-01
2.080000e+00,2.059733e-01,5.983987e-01,9.952666e-01,5.163630e+00,1.927455e-01,9.952666e-01,5.163630e+00,1.927455e-01,9.952666e-01,5.163630e+00,1.927455e-01,9.999997e-01,5.907544e+00,1.692750e-01,9.999997e-01,5.907544e+00,1.692750e-01,9.999997e-01,5.907544e+00,1.692750e-01,9.999997e-01,5.907544e+00,1.692750e-01,9.999996e-01,5.901728e+00,1.694418e-01,9.999996e-01,5.901728e+00,1.694418e-01,9.999996e-01,5.901728e+00,1.694418e-01,5.199136e-01,9.985797e-01,5.682625e+01,1.757251e-01
2.090000e+00,2.088919e-01,6.005042e-01,9.954679e-01,5.175539e+00,1.923409e-01,9.954679e-01,5.175539e+00,1.923409e-01,9.954679e-01,5.175539e+00,1.923409e-01,9.999997e-01,5.908386e+00,1.692509e-01,9.999997e-01,5.908386e+00,1.692509e-01,9.999997e-01,5.908386e+00,1.692509e-01,9.999997e-01,5.908386e+00,1.692509e-01,9.999996e-01,5.902547e+00,1.694183e-01,9.999996e-01,5.902547e+00,1.694183e-01,9.999996e-01,5.902547e+00,1.694183e-01,5.221818e-01,9.986401e-01,5.686780e+01,1.756073e-01
2.100000e+00,2.117973e-01,6.025878e-01,9.956598e-01,5.187164e+00,1.919469e-01,9.956598e-01,5.187164e+00,1.919469e-01,9.956598e-01,5.187164e+00,1.919469e-01,9.999997e-01,5.909212e+00,1.692273e-01,9.999997e-01,5.909212e+00,1.692273e-01,9.999997e-01,5.909212e+00,1.692273e-01,9.999997e-01,5.909212e+00,1.692273e-01,9.999996e-01,5.903352e+00,1.693952e-01,9.999996e-01,5.903352e+00,1.693952e-01,9.999996e-01,5.903352e+00,1.693952e-01,5.244297e-01,9.986977e-01,5.690839e+01,1.754922e-01
2.110000e+00,2.146894e-01,6.046496e-01,9.958427e-01,5.198511e+00,1.915631e-01,9.958427e-01,5.198511e+00,1.915631e-01,9.958427e-01,5.198511e+00,1.915631e-01,9.999997e-01,5.910024e+00,1.692040e-01,9.999997e-01,5.910024e+00,1.692040e-01,9.999997e-01,5.910024e+00,1.692040e-01,9.999997e-01,5.910024e+00,1.692040e-01,9.999996e-01,5.904144e+00,1.693725e-01,9.999996e-01,5.904144e+00,1.693725e-01,9.999996e-01,5.904144e+00,1.693725e-01,5.266575e-01,9.987526e-01,5.694806e+01,1.753796e-01
2.120000e+00,2.175680e-01,6.066900e-01,9.960172e-01,5.209589e+00,1.911892e-01,9.960172e-01,5.209589e+00,1.911892e-01,9.960172e-01,5.209589e+00,1.911892e-01,9.999997e-01,5.910822e+00,1.691812e-01,9.999997e-01,5.910822e+00,1.691812e-01,9.999997e-01,5.910822e+00,1.691812e-01,9.999997e-01,5.910822e+00,1.691812e-01,9.999997e-01,5.904922e+00,1.693502e-01,9.999997e-01,5.904922e+00,1.693502e-01,9.999997e-01,5.904922e+00,1.693502e-01,5.288656e-01,9.988050e-01,5.698682e+01,1.752695e-01
2.130000e+00,2.204329e-01,6.087093e-01,9.961836e-01,5.220406e+00,1.908249e-01,9.961836e-01,5.220406e+00,1.908249e-01,9.961836e-01,5.220406e+00,1.908249e-01,9.999997e-01,5.911606e+00,1.691587e-01,9.999997e-01,5.911606e+00,1.691587e-01,9.999997e-01,5.911606e+00,1.691587e-01,9.999997e-01,5.911606e+00,1.691587e-01,9.999997e-01,5.905687e+00,1.693283e-01,9.999997e-01,5.905687e+00,1.693283e-01,9.999997e-01,5.905687e+00,1.693283e-01,5.310540e-01,9.988549e-01,5.702470e+01,1.751618e-01
2.140000e+00,2.232840e-01,6.107079e-01,9.963424e-01,5.230970e+00,1.904699e-01,9.963424e-01,5.230970e+00,1.904699e-01,9.963424e-01,5.230970e+00,1.904699e-01,9.999997e-01,5.912376e+00,1.691367e-01,9.999997e-01,5.912376e+00,1.691367e-01,9.999997e-01,5.912376e+00,1.691367e-01,9.999997e-01,5.912376e+00,1.691367e-01,9.999997e-01,5.906439e+00,1.693067e-01,9.999997e-01,5.906439e+00,1.693067e-01,9.999997e-01,5.906439e+00,1.693067e-01,5.332231e-01,9.989025e-01,5.706173e+01,1.750565e-01
2.150000e+00,2.261210e-01,6.126860e-01,9.964939e-01,5.241287e+00,1.901239e-01,9.964939e-01,5.241287e+00,1.901239e-01,9.964939e-01,5.241287e+00,1.901239e-01,9.999998e-01,5.913133e+00,1.691150e-01,9.999998e-01,5.913133e+00,1.691150e-01,9.999998e-01,5.913133e+00,1.691150e-01,9.999998e-01,5.913133e+00,1.691150e-01,9.999997e-01,5.907179e+00,1.692855e-01,9.999997e-01,5.907179e+00,1.692855e-01,9.999997e-01,5.907179e+00,1.692855e-01,5.353730e-01,9.989480e-01,5.709793e+01,1.749534e-01
2.160000e+00,2.289439e-01,6.146440e-01,9.966384e-01,5.251367e+00,1.897865e-01,9.966384e-01,5.251367e+00,1.897865e-01,9.966384e-01,5.251367e+00,1.897865e-01,9.999998e-01,5.913878e+00,1.690937e-01,9.999998e-01,5.913878e+00,1.690937e-01,9.999998e-01,5.913878e+00,1.690937e-01,9.999998e-01,5.913878e+00,1.690937e-01,9.999997e-01,5.907907e+00,1.692646e-01,9.999997e-01,5.907907e+00,1.692646e-01,9.999997e-01,5.907907e+00,1.692646e-01,5.375040e-01,9.989913e-01,5.713333e+01,1.748526e-01
