S,L,R,G
257,0.5421247303954088,0.46508396589738327,0.2832529200017299
258,0.5417571681663405,0.46508396589578854,0.2831890847524288
259,0.541393076292357,0.4650839658943374,0.2831257751637352
260,0.5410324063267251,0.46508396589301726,0.2830629848015726
261,0.5406751107070347,0.46508396589181583,0.2830007073359483
262,0.540321142735554,0.46508396589072315,0.28293893653886615
263,0.5399704565600875,0.46508396588972883,0.2828776662822895
264,0.5396230071553312,0.4650839658888239,0.28281689053615294
265,0.5392787503046945,0.46508396588800077,0.2827566033664196
266,0.5389376425825922,0.4650839658872516,0.2826967989331868
267,0.5385996413371825,0.4650839658865699,0.2826374714888334
268,0.5382647046735445,0.46508396588594997,0.28257861537621315
269,0.5379327914372762,0.4650839658853857,0.28252022502688845
270,0.5376038611985106,0.4650839658848724,0.28246229495940467
271,0.537277874236329,0.46508396588440515,0.2824048197776071
272,0.5369547915235656,0.4650839658839801,0.2823477941689944
273,0.536634574711991,0.4650839658835935,0.2822912129031095
274,0.5363171861178656,0.4650839658832417,0.2822350708299698
275,0.5360025887078469,0.46508396588292156,0.2821793628785307
276,0.5356907460852516,0.4650839658826304,0.28212408405518574
277,0.5353816224766504,0.4650839658823652,0.28206922944229923
278,0.5350751827187956,0.46508396588212425,0.28201479419677333
279,0.5347713922458674,0.4650839658819047,0.2819607735486465
280,0.5344702170770322,0.46508396588170486,0.2819071627997238
281,0.5341716238043037,0.46508396588152345,0.2818539573222372
282,0.5338755795806968,0.4650839658813582,0.2818011525575364
283,0.533582052108673,0.4650839658812078,0.2817487440148078
284,0.5332910096288572,0.46508396588107115,0.2816967272698226
285,0.5330024209090327,0.4650839658809463,0.2816450979637116
286,0.5327162552333943,0.4650839658808332,0.2815938518017677
287,0.5324324823920622,0.46508396588073025,0.28154298455227356
288,0.5321510726708435,0.4650839658806365,0.2814924920453561
289,0.5318719968412364,0.46508396588055123,0.2814423701718643
290,0.5315952261506719,0.4650839658804736,0.28139261488227285
291,0.5313207323129873,0.4650839658804028,0.28134322218560714
292,0.531048487499118,0.46508396588033857,0.2812941881483945
293,0.5307784643280138,0.46508396588028006,0.281245508893635
294,0.5305106358577636,0.46508396588022677,0.2811971805997949
295,0.5302449755769277,0.4650839658801786,0.2811491994998235
296,0.529981457396073,0.4650839658801343,0.28110156188018687
297,0.5297200556394995,0.4650839658800942,0.28105426407992656
298,0.5294607450371626,0.46508396588005807,0.28100730248973377
299,0.5292035007167771,0.46508396588002476,0.2809606735510458
300,0.528948298196107,0.4650839658799946,0.2809143737551609
