rho,d6,d8,d9,d12,d6m,d12m,dm
0.64,0.4315192456939564,0.2117167057312106,0.18829421190928597,0.12243558582036551,0.36501651755120096,0.1380616766601618,0.25153909710568134
0.641,0.4321080490272865,0.2120009437262743,0.1885484221536566,0.12260823479853704,0.36535891304433565,0.1382905624359735,0.25182473774015457
0.642,0.43269902954304784,0.2122862653296716,0.18880361174798926,0.12278158623455993,0.36570244304604355,0.1385203778450779,0.25211141044556074
0.643,0.43329220109011857,0.21257267771986552,0.1890597872510376,0.12295564508040509,0.3660471146844068,0.13875112923855287,0.25239912196147984
0.644,0.4338875776442096,0.21286018814392613,0.18931695528489062,0.123130416338085,0.3663929351542198,0.13898282302941797,0.2526878790918189
0.645,0.4344851733093895,0.2131488039183911,0.18957512253577483,0.12330590506031258,0.3667399117178194,0.13921546569342333,0.2529776887056214
0.646,0.4350850023196333,0.21343853243013927,0.18983429575486846,0.12348211635117091,0.3670880517059276,0.13944906376985106,0.25326855773788937
0.647,0.4356870790403918,0.2137293811372782,0.19009448175912866,0.12365905536679381,0.3674373625185078,0.1396836238623291,0.2535604931904184
0.648,0.4362914179701873,0.21402135757004553,0.19035568743213224,0.12383672731605748,0.367787851625634,0.13991915263965823,0.2538535021326461
0.649,0.4368980337422319,0.21431446933172416,0.19061791972492903,0.12401513746128348,0.3681395265683744,0.14015565683665193,0.25414759170251316
0.65,0.43750694112607014,0.21460872409957238,0.1908811856569089,0.12419429111895333,0.3684923949596875,0.14039314325498997,0.25444276910733876
0.651,0.43811815502924745,0.21490412962576805,0.1911454923166833,0.12437419366043471,0.368846464485334,0.14063161876408536,0.2547390416247096
0.652,0.4387316904990033,0.21520069373836848,0.19141084686297966,0.12455485051271978,0.3692017429048014,0.14087109030196518,0.2550364166033833
0.653,0.43934756272398956,0.21549842434228478,0.1916772565255514,0.12473626715917573,0.3695582380522448,0.1411115648761659,0.2553349014642054
0.654,0.43996578703601696,0.21579732942027216,0.19194472860610154,0.12491844914030771,0.3699159578374422,0.14135304956464284,0.25563450370104246
0.655,0.4405863789118264,0.21609741703393617,0.19221327047922182,0.12510140205453454,0.37027491024676346,0.1415955515166944,0.255935230881729
0.656,0.4412093539748881,0.21639869532475473,0.19248288959334678,0.12528513155897752,0.3706351033441578,0.14183907795390135,0.2562370906490296
0.657,0.44183472799722945,0.2167011725151166,0.19275359347172288,0.1254696433702621,0.3709965452721543,0.14208363617108136,0.2565400907216179
0.658,0.4424625169012899,0.2170048569093769,0.19302538971339486,0.1256549432653334,0.3713592442528803,0.14232923353725924,0.2568442388950698
0.659,0.443092736761805,0.21730975689492962,0.1932982859942059,0.1258410370822855,0.3717232085890953,0.14257587749665282,0.2571495430428741
0.66,0.44372540380771974,0.21761588094329712,0.19357229006781632,0.12602793072120413,0.37208844666524227,0.14282357556967534,0.25745601111745875
0.661,0.44436053442413226,0.2179232376112379,0.1938474097667378,0.12621563014502493,0.3724549669485152,0.14307233535395394,0.2577636511512346
0.662,0.44499814515426733,0.21823183554187228,0.1941236530033848,0.12640414138040473,0.3728227779899453,0.14332216452536561,0.2580724712576555
0.663,0.4456382527014807,0.21854168346582628,0.1944010277711435,0.1265934705186092,0.37319188842550344,0.14357307083908968,0.2583824796322966
0.664,0.4462808739312965,0.21885279020239448,0.19467954214545877,0.12678362371641466,0.37356230697722237,0.1438250621306781,0.25869368455395025
0.665,0.4469260258734739,0.21916516466072222,0.1949592042849384,0.12697460719702597,0.3739340424543357,0.14407814631714375,0.2590060943857398
0.666,0.44757372572411025,0.21947881584100706,0.19524002243247654,0.12716642725101,0.37430710375443715,0.1443323313980666,0.25931971757625194
0.667,0.4482239908477739,0.21979375283572028,0.19552200491639543,0.1273590902372453,0.374681499864658,0.14458762545671877,0.25963456266068835
0.668,0.44887683877967477,0.22010998483084854,0.1958051601516067,0.12755260258388845,0.3750572398628645,0.14484403666120832,0.25995063826203635
0.669,0.4495322872278656,0.22042752110715658,0.19608949664079153,0.12774697078935676,0.3754343329188754,0.14510157326564252,0.2602679530922589
0.67,0.4501903540754824,0.22074637104147077,0.1963750229756019,0.12794220142332866,0.37581278829569975,0.1453602436113107,0.2605865159535052
0.671,0.4508510573830179,0.2210665441079845,0.1966617478378809,0.1281383011277613,0.37619261535079496,0.14562005612788745,0.26090633573934113
0.672,0.45151441539063425,0.22138804987958519,0.19694968000090454,0.1283352766179262,0.37657382353734703,0.14588101933465603,0.26122742143600153
0.673,0.4521804465205102,0.22171089802920388,0.19723882833064502,0.128533134683463,0.37695642240557137,0.14614314184175292,0.2615497821236622
0.674,0.45284916937922975,0.2220350983311881,0.1975292017870544,0.12873188218945192,0.37734042160403686,0.14640643235143389,0.26187342697773536
0.675,0.453520602760207,0.22236066066269747,0.1978208094253719,0.12893152607750552,0.3777258308810105,0.14667089965936134,0.262198365270186
0.676,0.4541947656461523,0.22268759500512345,0.19811366039745215,0.1291320733668793,0.3781126600858275,0.14693655265591468,0.2625246063708711
0.677,0.45487167721157773,0.22301591144553343,0.19840776395311782,0.12933353115560284,0.37850091917028283,0.14720340032752266,0.26285215974890275
0.678,0.45555135682534487,0.22334562017813944,0.1987031294415346,0.12953590662163064,0.37889061819004743,0.14747145175801948,0.2631810349740335
0.679,0.45623382405325347,0.22367673150579248,0.19899976631261046,0.12973920702401415,0.37928176730610885,0.14774071613002407,0.26351124171806645
0.68,0.4569190986606744,0.2240092558415023,0.1992976841184197,0.1299434397040943,0.37967437678623694,0.14801120272634402,0.26384278975629044
0.681,0.45760720061522464,0.22434320370998387,0.19959689251465138,0.1301486120867165,0.38006845700647407,0.1482829209314036,0.26417568896893884
0.682,0.458298150089488,0.2246785857492306,0.19989740126208352,0.13035473168146677,0.3804640184526526,0.14855588023269775,0.2645099493426752
0.683,0.45899196746378135,0.22501541271211514,0.200199220228083,0.13056180608393114,0.38086107172193795,0.14883009022227095,0.26484558097210453
0.684,0.45968867332896657,0.22535369546801817,0.20050235938813224,0.13076984297697763,0.38125962752439924,0.1491055605982226,0.2651825940613109
0.685,0.4603882884893104,0.22569344500448565,0.20080682882738327,0.13097885013206192,0.38165969668460586,0.14938230116623977,0.2655209989254228
0.686,0.4610908339653921,0.2260346724289158,0.20111263874223823,0.131188835410557,0.38206129014325596,0.14966032184115646,0.2658608059922062
0.687,0.46179633099706063,0.22637738897027562,0.20141979944195978,0.1313998067651075,0.3824644189588293,0.14993963264854127,0.2662020258036853
0.6880000000000001,0.46250480104644237,0.22672160598084745,0.20172832135030913,0.13161177224100887,0.38286909430927274,0.15022024372631376,0.2665446690177932
0.6890000000000001,0.4632162658009995,0.22706733493800774,0.20203821500721397,0.13182473997761243,0.3832753274937139,0.1505021653263895,0.2668887464100517
0.6900000000000001,0.46393074717664057,0.22741458744603654,0.2023494910704665,0.13203871820975663,0.3836831299342066,0.1507854078163555,0.2672342688752811
0.6910000000000001,0.46464826732088604,0.22776337523796025,0.20266216031745218,0.1322537152692247,0.3840925131775072,0.15106998168117555,0.26758124742934136
