p,r6l,r12l,r6m,r12m,r6h,r12h
0.47100000000000003,0.18424185535042376,0.09582300931754983,0.4219558592165209,0.29806255341221416,1.4127504218438747,1.2759869913275803
0.47200000000000003,0.18424957281039084,0.09582674202130838,0.42207481732830643,0.2981416906294162,1.4129763209615889,1.2761557708109483
0.47300000000000003,0.18425729106515537,0.09583047510563292,0.42219387109316464,0.2982208932423759,1.413202489098088,1.2763247613354565
0.47400000000000003,0.18426501011484842,0.09583420857058579,0.4223130206312292,0.2983001613342697,1.4134289267503544,1.2764939633020562
0.47500000000000003,0.1842727299596005,0.09583794241622923,0.4224322660628387,0.298379494988417,1.4136556344165219,1.2766633771127212
0.47600000000000003,0.18428045059954268,0.09584167664262548,0.4225516075085404,0.29845889428828176,1.4138826125960255,1.2768330031704587
0.47700000000000004,0.18428817203480582,0.0958454112498368,0.4226710450890872,0.2985383593174725,1.4141098617895005,1.2770028418793125
0.47800000000000004,0.1842958942655208,0.09584914623792556,0.4227905789254413,0.29861789015974305,1.4143373824989096,1.2771728936443243
0.47900000000000004,0.18430361729181863,0.09585288160695409,0.42291020913877236,0.29869748689899184,1.4145651752274004,1.2773431588716246
0.48000000000000004,0.18431134111383024,0.09585661735698464,0.4230299358504591,0.2987771496192632,1.4147932404794958,1.2775136379683807
0.481,0.1843190657316867,0.09586035348807961,0.42314975918208897,0.29885687840474723,1.415021578760857,1.2776843313427495
0.482,0.18432679114551892,0.09586409000030133,0.42326967925545966,0.29893667333977997,1.415250190578522,1.2778552394039904
0.483,0.18433451735545814,0.09586782689371223,0.42338969619257866,0.2990165345088445,1.41547907644075,1.2780263625623893
0.484,0.1843422443616354,0.09587156416837463,0.4235098101156642,0.29909646199657036,1.4157082368570968,1.278197701229301
0.485,0.18434997216418184,0.09587530182435099,0.42363002114714554,0.29917645588773417,1.4159376723384451,1.2783692558171196
0.486,0.18435770076322855,0.09587903986170368,0.4237503294096629,0.29925651626726035,1.4161673833968935,1.2785410267393023
0.487,0.1843654301589068,0.09588277828049514,0.4238707350260694,0.29933664322022063,1.4163973705459099,1.278713014410417
0.488,0.1843731603513478,0.09588651708078784,0.42399123811942996,0.29941683683183534,1.4166276343001933,1.27888521924603
0.489,0.18438089134068272,0.0958902562626442,0.42411183881302256,0.299497097187473,1.4168581751757852,1.2790576416628148
0.49,0.18438862312704296,0.0958939958261267,0.4242325372303387,0.29957742437265134,1.4170889936900526,1.2792302820785217
0.491,0.18439635571055973,0.09589773577129787,0.42435333349508336,0.2996578184730363,1.4173200903616192,1.2794031409119688
0.492,0.18440408909136444,0.09590147609822018,0.4244742277311764,0.29973827957444427,1.417551465710479,1.2795762185830841
0.493,0.1844118232695884,0.09590521680695613,0.4245952200627516,0.29981880776284064,1.417783120257885,1.2797495155128302
0.494,0.1844195582453631,0.09590895789756829,0.424716310614159,0.29989940312434127,1.4180150545264967,1.2799230321233173
0.495,0.1844272940188199,0.09591269937011913,0.42483749950996375,0.29998006574521274,1.4182472690402086,1.2800967688376799
0.496,0.18443503059009025,0.09591644122467131,0.4249587868749474,0.30006079571187183,1.4184797643243252,1.2802707260802124
0.497,0.18444276795930567,0.09592018346128732,0.42508017283410804,0.3001415931108865,1.418712540905435,1.2804449042762978
0.498,0.18445050612659766,0.09592392608002975,0.4252016575126611,0.30022245802897657,1.4189455993115083,1.280619303852387
0.499,0.18445824509209785,0.09592766908096127,0.4253232410360399,0.30030339055301347,1.4191789400718262,1.2807939252360774
0.5,0.1844659848559377,0.09593141246414444,0.4254449235298951,0.3003843907700203,1.4194125637170543,1.2809687688560343
0.501,0.18447372541824889,0.09593515622964185,0.42556670512009687,0.3004654587671737,1.4196464707791823,1.2811438351420814
0.502,0.184481466779163,0.09593890037751623,0.42568858593273406,0.30054659463180156,1.4198806617915518,1.281319124525157
0.503,0.1844892089388118,0.0959426449078302,0.42581056609411505,0.30062779845138626,1.4201151372889098,1.2814946374372758
0.504,0.18449695189732687,0.09594638982064639,0.4259326457307685,0.30070907031356287,1.4203498978073288,1.2816703743116227
0.505,0.18450469565484004,0.09595013511602758,0.4260548249694433,0.30079041030612075,1.420584943884292,1.28184633558249
0.506,0.18451244021148305,0.09595388079403634,0.42617710393710984,0.3008718185170028,1.4208202760586224,1.282022521685319
0.507,0.18452018556738764,0.09595762685473552,0.4262994827609597,0.3009532950343076,1.4210558948705136,1.282198933056668
0.508,0.18452793172268564,0.09596137329818773,0.42642196156840656,0.30103483994628716,1.4212918008616071,1.2823755701342585
0.509,0.18453567867750892,0.09596512012445582,0.4265445404870868,0.3011164533413497,1.4215279945748667,1.2825524333569123
0.51,0.18454342643198937,0.09596886733360244,0.42666721964485976,0.30119813530805817,1.4217644765547062,1.2827295231646747
0.511,0.18455117498625892,0.09597261492569044,0.4267899991698081,0.30127988593513233,1.42200124734689,1.2829068399986552
